Layout_x,Layout_y
2.2178011546090204,1968.4143310612674
0.07116346356392356,1925.343742384362
21.263054856695646,1879.2237910900342
20.2338610027096,1836.0397829664935
22.86706300182028,1786.2146709059016
25.596543647294546,1747.2868941817671
34.60409580270521,1700.7294810925675
37.25352865963788,1658.8735307004915
48.10366194942009,1612.6221592313082
50.339731437699896,1563.55042856672
57.60779738166556,1525.3882966058559
59.35791831354943,1466.9473290222884
78.83691471271337,1427.8971765359574
71.89699507333407,1383.0131673425062
76.52403338651472,1332.3614363938036
92.15232427615877,1295.9543024527447
95.25945230251301,1248.558061175904
112.00502556583972,1211.4089538992534
113.9721343588746,1164.4113069237028
115.5703517727042,1115.752500017664
123.08109288380513,1068.3446623616219
131.4155069234967,1026.992669196865
141.10862773798837,986.613967185716
139.80050862600095,930.0394336502038
152.4202249115153,890.7093551452276
150.88437054772916,848.6486510238424
161.32926952538847,799.8531695673018
162.97561359986167,761.9432174951442
173.70590229465253,705.6136458305434
168.5089701925693,668.5015255551923
185.82597151270127,614.0182670195427
195.53787871509513,582.6055260978089
192.5863406760988,534.3343729744945
201.05734024214138,491.27397863278657
209.6242173989518,445.20829920682377
212.36622877782784,398.4911821301139
222.2337341480568,356.5656401620947
222.59052966858636,319.8878227163982
224.46202615430357,272.63552521913994
243.96128657236494,220.8233962939605
249.70802857765295,183.21166275489622
250.65917935674216,136.3536785010217
247.34069366718833,85.20301158307461
251.58526503184515,39.480785005716825
262.63819454194055,0.0
