,Layout_x,Layout_y
0,0.0,0.0
1,137.47735795246246,426.01652758466787
2,402.13659461984105,227.3434707517675
3,599.1426916367807,623.017060323283
4,546.9630489793988,419.2682395933907
6,569.7635949043206,158.38009241750905
7,157.52919752763913,629.4515135193261
