,Layout_x,Layout_y
0,0.0,0.0
1,135.44227389667182,255.20865180156807
2,608.5243724047618,411.7133235357017
3,128.059634908208,479.0153591475707
4,496.37993253501605,233.97565998576982
6,627.4874234545159,144.02643094773745
7,217.1060730871227,624.3854952945053
