,Layout_x,Layout_y
0,0.0,0.0
1,145.8367915807222,461.55568788522737
2,594.1003313014553,184.7587238372491
3,623.9348389721868,562.2720127792695
4,625.3064823263736,421.1933063376245
5,172.4469127172497,226.0821655523323
7,205.6110755482992,625.0417667025665
