,Layout_x,Layout_y
0,0.0,0.0
1,128.15707258382707,275.86614304157365
2,565.8303628049011,425.39974675551673
3,450.6967762135087,190.5856307585351
4,610.285644276197,152.50252996748367
6,152.66366118741897,443.96160664161476
7,157.52919752763913,629.4515135193261
